Date,Close/Last,Volume,Open,High,Low
12/23/2021,31.21,480275,31.16,31.42,31.1
12/22/2021,31.5,404890,30.93,31.52,30.89
12/21/2021,30.38,686373,29.88,30.43,29.88
12/20/2021,29.47,1214446,29.24,29.57,28.87
12/17/2021,30.31,1178186,30.16,30.77,30.0304
12/16/2021,31.63,856430,32.18,32.3,31.55
12/15/2021,32.15,1219399,31.94,32.18,31.3
12/14/2021,31.69,1928537,31.71,31.97,31.41
12/13/2021,31.95,694282,32.24,32.46,31.69
12/10/2021,32.75,474521,32.62,32.81,32.37
12/09/2021,32.14,904391,32.49,32.61,32.085
12/08/2021,32.61,752572,32.5,32.88,32.4
12/07/2021,31.85,1042609,31.98,32.15,31.72
12/06/2021,30.8,2259487,31,31.05,30.35
12/03/2021,31.45,810149,32,32.06,31.09
12/02/2021,31.97,1444478,31.83,32.21,31.57
12/01/2021,31.28,1823311,31.96,32.21,31.25
11/30/2021,30.54,1143673,30.72,30.97,30.31
11/29/2021,30.96,1293355,30.7,30.99,30.27
11/26/2021,30.36,985231,30.15,30.55,30.02
11/24/2021,32.88,923761,32.3,32.9,32.13
11/23/2021,32.84,1181606,32.9,33.17,32.49
11/22/2021,32.24,2449162,32.32,32.79,31.865
11/19/2021,33.45,1083373,32.99,33.5891,32.9
11/18/2021,33.14,1614861,33.74,33.79,32.51
11/17/2021,34.94,1308840,35.1,35.38,34.91
11/16/2021,34.66,1644961,34.49,34.94,34.36
11/15/2021,33.57,954629,33.58,33.98,33.34
11/12/2021,33.57,1025328,33.69,33.73,33.36
11/11/2021,33.59,1061624,33.42,33.86,33.33
11/10/2021,33.46,1973682,33.905,34.71,33.25
11/09/2021,33.61,1645631,34.29,34.36,33.2
11/08/2021,34.08,1768734,33.64,34.33,33.52
11/05/2021,32.76,1074976,32.78,33.035,32.59
11/04/2021,32.48,991705,32.71,32.77,32.39
11/03/2021,32.88,1417489,31.73,32.92,31.72
11/02/2021,31.77,1960373,32.44,32.7,31.61
11/01/2021,33.53,2390992,32.76,33.94,32.71
10/29/2021,31.58,1806954,32,32.1,31.48
10/28/2021,32.04,2015517,31.73,32.32,31.7013
10/27/2021,32.36,2306022,32.79,32.86,32.25
10/26/2021,33.17,3200693,33.775,33.82,33.05
10/25/2021,32.2,1256099,32.1,32.465,32.0301
10/22/2021,32.27,1344061,32.6,32.69,31.94
10/21/2021,33.57,1663476,33.57,33.84,33.29
10/20/2021,32.36,2526377,32.49,32.625,32.18
10/19/2021,32,2679088,32.44,32.44,31.7001
10/18/2021,33.79,2139518,34.14,34.43,33.63
10/15/2021,34.19,4529390,33.98,34.53,33.865
10/14/2021,33.93,3624858,32.99,34.14,32.58
10/13/2021,34.2,7343301,32.85,34.4,32.52
10/12/2021,31.68,6394214,29.5,32,29.48
10/11/2021,28.06,2851101,27.67,28.41,27.34
10/08/2021,26.35,4366525,25.64,26.35,25.64
10/07/2021,25.75,4969507,24.62,25.9,24.61
10/06/2021,22.34,1666477,22.22,22.47,22.105
10/05/2021,23.13,897454,22.98,23.2,22.965
10/04/2021,22.72,1134836,23.15,23.2,22.655
10/01/2021,22.78,687844,22.5,22.895,22.48
09/30/2021,22.41,1686200,22.4,22.56,22.255
09/29/2021,22.33,819988,22.08,22.4,22.08
09/28/2021,22.07,2486184,22.36,22.56,22.005
09/27/2021,22.81,5179366,22.21,22.945,22.2
09/24/2021,21.8,1896832,21.59,21.877,21.57
09/23/2021,22.07,1181790,21.57,22.09,21.57
09/22/2021,21.2,1558081,20.85,21.3,20.85
09/21/2021,20.47,2213265,20.25,20.505,20.14
09/20/2021,19.89,1947000,19.93,20.07,19.665
09/17/2021,20.68,1167234,20.91,21.05,20.615
09/16/2021,21.03,620963,20.94,21.1,20.85
09/15/2021,21.11,1794437,20.95,21.125,20.85
09/14/2021,20.55,1113936,20.67,20.75,20.49
09/13/2021,20.44,636756,20.44,20.49,20.27
09/10/2021,20.29,800009,20.38,20.53,20.26
09/09/2021,20.21,895223,20,20.27,20
09/08/2021,19.82,929631,19.86,19.885,19.64
09/07/2021,19.76,1296234,20.11,20.16,19.75
09/03/2021,20.2,668228,20.01,20.2199,19.94
09/02/2021,19.91,1174207,20.11,20.16,19.9
09/01/2021,20.18,1739642,20.09,20.25,20.04
08/31/2021,19.68,1652347,19.67,19.7,19.39
08/30/2021,19.76,622180,19.89,20.05,19.76
08/27/2021,19.75,1310668,19.18,19.815,19.18
08/26/2021,18.9,684577,19.06,19.13,18.86
08/25/2021,19.17,787469,19.15,19.255,19.07
08/24/2021,19.12,1332848,18.88,19.2,18.85
08/23/2021,18.73,1615981,18.48,18.76,18.48
08/20/2021,19.15,1309535,18.8,19.15,18.74
08/19/2021,19.1,2186811,19.08,19.23,18.885
08/18/2021,19.44,3203150,19.46,19.735,19.38
08/17/2021,19.48,2658489,19.835,19.835,19.41
08/16/2021,20.22,1138227,20.3,20.3,20.06
08/13/2021,20.5,560962,20.42,20.64,20.42
08/12/2021,20.5,1036176,20.54,20.64,20.32
08/11/2021,20.04,908269,19.87,20.1,19.87
08/10/2021,19.74,891741,19.67,19.76,19.47
08/09/2021,19.87,1062353,20.08,20.08,19.85
08/06/2021,20.11,1085061,20.17,20.29,20.06
08/05/2021,20.1,1168275,20.01,20.19,19.95
08/04/2021,19.72,1919094,20.25,20.27,19.715
08/03/2021,20.56,2669886,20.23,20.57,20.04
08/02/2021,19.84,856562,19.84,20.18,19.84
07/30/2021,19.68,1054988,19.65,19.88,19.62
07/29/2021,19.82,1011243,19.61,19.9,19.59
07/28/2021,19.34,1715487,19.19,19.46,19.07
07/27/2021,19.27,6127843,19.28,19.37,19.065
07/26/2021,19.7,2535772,19.3,19.72,19.3
07/23/2021,19.61,2020157,19.76,19.81,19.47
07/22/2021,19.89,1099948,20.23,20.26,19.89
07/21/2021,20.52,1176459,20.37,20.54,20.27
07/20/2021,20.44,1760702,20,20.475,19.825
07/19/2021,20.09,3197749,20.3,20.3,19.72
07/16/2021,20.38,1926752,20.63,20.685,20.31
07/15/2021,20.52,1383921,20.46,20.67,20.46
07/14/2021,20.56,1457856,20.52,20.68,20.47
07/13/2021,20.4,1734937,20.61,20.63,20.375
07/12/2021,20.32,1280176,20.27,20.48,20.26
07/09/2021,20.38,1896461,20.3,20.465,20.22
07/08/2021,19.92,2615640,19.84,20,19.47
07/07/2021,20.51,3866486,20.64,20.71,20.41
07/06/2021,20.33,4327788,20.8,20.86,20.32
07/02/2021,23.05,663973,23.04,23.14,22.921
07/01/2021,22.97,1032877,22.92,23.12,22.845
06/30/2021,22.78,716443,22.69,22.81,22.605
06/29/2021,22.83,971116,22.85,23,22.75
06/28/2021,22.9,928800,22.86,23,22.8
06/25/2021,22.65,739744,22.75,22.821,22.63
06/24/2021,22.49,747999,22.5,22.58,22.31
06/23/2021,22.41,820286,22.53,22.665,22.35
06/22/2021,22.68,697418,22.5,22.7,22.37
06/21/2021,22.6,675941,22.39,22.61,22.34
06/18/2021,22.18,2788538,22.52,22.52,22.17
06/17/2021,22.98,1500905,23.24,23.36,22.92
06/16/2021,23.62,1061589,23.62,23.75,23.44
