"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 03-Jun-2020","30 D % CHNG 
 04-May-2021"
"NIFTY 50","15,712.50","15,733.60","15,622.35","15,690.35","15,670.25","-20.10","-0.13",414162241,"253,627,561,482.28","15,733.60","9,544.35","56.25","7.20"
"TATAMOTORS","325.15","336.90","324.25","325.65","336.80","11.15","3.42",41278749,"13,635,609,157.17","357.00","91.80","240.05","14.91"
"GRASIM","1,458.80","1,507.00","1,452.35","1,458.75","1,507.00","48.25","3.31",2556166,"3,811,831,424.18","1,507.00","565.00","148.43","5.80"
"COALINDIA","149.00","154.40","148.20","149.05","153.20","4.15","2.78",29422387,"4,482,794,883.32","163.00","109.55","9.16","14.98"
"BAJAJFINSV","11,855.00","12,190.00","11,785.00","11,819.85","12,125.00","305.15","2.58",410769,"4,938,297,779.52","12,190.00","4,900.00","136.64","9.37"
"ONGC","124.60","126.70","123.35","122.50","125.15","2.65","2.16",72354379,"9,053,703,444.27","126.70","64.10","47.76","12.92"
"IOC","112.50","114.95","112.40","112.45","114.45","2.00","1.78",28329820,"3,232,999,058.40","114.95","71.65","33.41","24.30"
"LT","1,518.95","1,547.25","1,516.90","1,510.85","1,536.15","25.30","1.67",5677538,"8,716,269,888.36","1,593.00","843.00","65.20","14.86"
"BAJFINANCE","5,915.00","6,010.00","5,900.00","5,901.50","5,982.20","80.70","1.37",2445367,"14,578,202,092.52","6,010.00","2,199.00","159.11","8.67"
"HEROMOTOCO","3,005.00","3,055.00","3,004.85","3,008.35","3,045.00","36.65","1.22",1023321,"3,110,906,073.21","3,629.05","2,230.70","30.87","9.33"
"ADANIPORTS","830.80","841.95","823.00","825.30","834.65","9.35","1.13",14457348,"12,040,223,987.88","885.00","298.00","145.83","12.97"
"HDFC","2,588.00","2,626.00","2,584.05","2,584.00","2,613.00","29.00","1.12",3593742,"9,381,571,303.26","2,896.00","1,623.00","48.45","10.16"
"BPCL","474.80","482.80","474.05","473.90","478.55","4.65","0.98",8879733,"4,253,658,498.99","488.00","325.00","33.87","12.58"
"TATACONSUM","680.85","689.95","675.00","680.00","685.55","5.55","0.82",2398771,"1,644,861,262.41","698.00","360.25","80.07","5.84"
"JSWSTEEL","708.05","726.00","703.05","714.10","719.80","5.70","0.80",9653847,"6,905,589,836.04","773.00","175.45","275.63","0.49"
"DIVISLAB","4,233.60","4,277.90","4,217.55","4,232.20","4,260.00","27.80","0.66",389667,"1,656,221,133.45","4,284.20","2,090.05","76.02","5.60"
"TECHM","1,019.55","1,026.95","1,011.00","1,014.35","1,020.00","5.65","0.56",2315912,"2,361,234,397.84","1,081.55","528.40","75.09","6.12"
"WIPRO","543.50","545.50","540.45","539.05","541.35","2.30","0.43",4771716,"2,589,228,535.92","549.90","206.30","150.27","10.31"
"INDUSINDBK","1,012.20","1,023.40","1,004.00","1,005.75","1,009.60","3.85","0.38",4323154,"4,373,259,354.86","1,119.50","405.00","143.18","8.39"
"HDFCLIFE","678.75","688.75","677.60","678.45","680.70","2.25","0.33",2532605,"1,731,288,778.00","746.00","486.25","31.55","0.96"
"ULTRACEMCO","6,630.00","6,685.00","6,615.65","6,641.70","6,663.05","21.35","0.32",205504,"1,368,079,173.76","7,055.95","3,600.00","75.20","4.45"
"M&M","814.00","814.00","803.10","802.05","804.20","2.15","0.27",5084092,"4,103,929,903.32","952.05","456.10","68.17","7.63"
"ITC","209.50","209.70","208.00","209.05","209.55","0.50","0.24",30126021,"6,281,877,898.92","239.20","163.35","4.30","3.65"
"MARUTI","7,200.00","7,272.00","7,151.10","7,209.50","7,219.50","10.00","0.14",575591,"4,154,771,247.57","8,329.00","5,201.00","26.79","9.48"
"BHARTIARTL","533.95","535.80","531.20","532.05","532.60","0.55","0.10",4788898,"2,554,062,970.34","623.00","394.00","-6.94","-4.87"
"SBILIFE","994.95","994.95","984.00","986.85","987.60","0.75","0.08",996919,"985,992,767.76","1,044.70","728.75","24.45","1.65"
"KOTAKBANK","1,820.00","1,820.95","1,797.00","1,814.20","1,814.00","-0.20","-0.01",1508706,"2,730,742,772.94","2,049.00","1,228.35","35.73","2.28"
"CIPLA","948.00","951.50","936.50","948.25","947.45","-0.80","-0.08",3057699,"2,888,180,167.44","966.35","616.30","43.27","6.50"
"TCS","3,128.00","3,156.85","3,125.00","3,141.25","3,138.50","-2.75","-0.09",1836060,"5,766,054,627.00","3,354.35","2,000.95","50.31","1.55"
"POWERGRID","226.00","228.15","224.80","226.30","226.10","-0.20","-0.09",3455150,"782,245,960.00","239.85","154.60","33.62","3.64"
"BRITANNIA","3,500.00","3,512.00","3,480.00","3,496.25","3,492.00","-4.25","-0.12",312826,"1,093,311,228.70","4,010.00","3,305.75","1.13","1.09"
"NTPC","111.50","113.00","111.05","111.80","111.65","-0.15","-0.13",8930671,"1,000,681,685.55","116.75","78.10","17.45","7.56"
"TATASTEEL","1,116.00","1,128.80","1,107.00","1,122.00","1,120.00","-2.00","-0.18",9713347,"10,841,940,787.93","1,246.85","300.00","250.27","4.72"
"SUNPHARMA","678.90","679.25","672.80","675.50","673.60","-1.90","-0.28",3747803,"2,532,278,053.01","721.85","452.25","36.19","-1.38"
"INFY","1,393.95","1,396.90","1,377.65","1,389.65","1,385.15","-4.50","-0.32",4194328,"5,809,060,393.44","1,477.55","675.50","95.78","3.29"
"TITAN","1,713.80","1,713.80","1,665.50","1,691.20","1,684.00","-7.20","-0.43",2952017,"4,967,388,526.07","1,713.80","901.00","72.92","17.58"
"HCLTECH","940.10","944.20","934.75","939.45","935.45","-4.00","-0.43",3550303,"3,334,338,068.51","1,067.00","545.00","61.77","2.99"
"UPL","835.00","845.35","832.10","840.25","836.00","-4.25","-0.51",4116012,"3,453,416,388.24","845.35","398.05","98.14","30.52"
"ASIANPAINT","2,953.00","2,990.00","2,908.00","2,935.35","2,919.65","-15.70","-0.53",1509084,"4,444,569,287.64","2,990.00","1,577.50","79.03","13.91"
"DRREDDY","5,282.55","5,290.00","5,242.00","5,282.55","5,252.15","-30.40","-0.58",401531,"2,111,956,692.56","5,512.65","3,814.00","31.41","1.82"
"BAJAJ-AUTO","4,264.40","4,295.45","4,240.00","4,273.35","4,240.00","-33.35","-0.78",374317,"1,593,003,315.92","4,361.40","2,610.25","50.86","10.57"
"HINDUNILVR","2,370.00","2,370.00","2,333.95","2,363.25","2,344.20","-19.05","-0.81",1283795,"3,007,366,815.20","2,505.90","2,000.05","10.44","-2.20"
"SHREECEM","28,300.10","28,428.75","28,090.00","28,348.15","28,100.00","-248.15","-0.88",26867,"758,311,134.21","32,048.00","18,183.55","31.58","1.11"
"EICHERMOT","2,767.45","2,775.00","2,724.10","2,767.75","2,739.95","-27.80","-1.00",621362,"1,708,907,054.12","3,037.00","1,559.11","-84.11","15.69"
"ICICIBANK","653.00","654.90","639.40","650.25","643.65","-6.60","-1.01",15111572,"9,742,128,236.96","679.40","324.10","84.76","6.62"
"RELIANCE","2,214.80","2,216.45","2,184.25","2,209.65","2,186.90","-22.75","-1.03",6677278,"14,674,453,542.26","2,369.35","1,497.00","38.66","14.08"
"AXISBANK","751.00","759.90","740.10","750.65","742.80","-7.85","-1.05",10336011,"7,738,468,075.59","799.00","360.40","88.17","3.46"
"HDFCBANK","1,516.00","1,520.65","1,499.20","1,520.55","1,503.65","-16.90","-1.11",4712238,"7,104,782,599.74","1,641.00","928.00","49.84","7.01"
